id,ime,cena,1.registracija,Prevoženih,Gorivo,Menjalnik,Motor,Baterija,Starost
22761424,Audi RS Q8 quattro Tiptronic|Matrix|Acc|Hud|PanoHlajenje|B O,82990.0,2021,138500 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22228187,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,104990.0,2022,60000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20243801,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,124900.0,2021,93000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20960928,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,88000.0,2020,138000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20274827,Audi RS Q8 TFSI quattro-ACC-SOFT-BANGOLUFSEN-PANORAMA-ALU23,109900.0,2023,72400 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22501266,Audi RS6 Avant TFSI Tiptronic,77000.0,2020,,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22435698,Audi RS6 Avant TFSI Tiptronic ALU 22 soft-Close,88990.0,2021,149800 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22338726,Audi RS6 Avant ,105000.0,2022,48000 km,bencinski motor,avtomatski menjalnik,"3999 ccm, 441 kW / 600 KM",,
22634632,Audi RS6 Avant ,115000.0,2021,49000 km,bencinski motor,avtomatski menjalnik,"3900 ccm, 441 kW / 600 KM",,
22441485,Audi RS6 Avant ,74900.0,2020,118277 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22548213,Audi RS6 Avant ,79500.0,2019,89923 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22690980,Audi RS6 Avant 4.0TFSI-Q-ACC-PANOR-LASER-ZRAČNO-360KAM-BANG-22C-,89950.0,2022,89000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20945419,Audi RS6 Avant DRC.Pano.B O.360-kam.LED.Keramika.Soft C.AKRAPOVIČ,94990.0,2021,97900 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
21846455,Audi RS6 Avant RS6 TFSI Quattro Tiptronic ,89800.0,2020,154026 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20683628,Audi RS6 Avant RS6 TFSI quattro tiptronic 441kW,89500.0,2021,48000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22787625,Audi RS6 Avant RS6-TFSI-QUATRRO-ACC-KAM-360-4x-GRETJE-SED-AMBIENT,69950.0,2020,145000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22633829,Audi RS6 Avant TFSI Quattro,98000.0,2023,105000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22598519,Audi RS6 Avant TFSI quattro ,86800.0,2022,96980 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20815061,Audi RS6 Avant TFSI quattro tiptronic 441kW,117000.0,2021,80000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22699181,Audi RS6 Avant TFSI Tiptronic,89980.0,2021,66000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22631210,Audi RS6 Avant TFSI Tiptronic ALU 22 soft-Close,88990.0,2021,149800 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22723693,Audi RS6 Avant TFSI Tiptronic HD Matrix 360 kamera ambient. osvet,84990.0,2020,118091 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22779168,Audi RS6 Avant TFSI Tiptronic Quattro,89800.0,2020,154026 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22782827,Audi RS6 Avant TFSI Tiptronic+Night Vis.+HUD+Laser+Pano+Zrač.+Web,89890.0,2022,76104 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22790506,Audi RS7 4.0 TFSI |SoftC|NightV|HUD|Masaža|Hlajenje|ACC|,79990.0,2021,98000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22742492,Audi RS7 KERAMIKA - KARBON - PANO - NIGHT VISION - KAMERA..,99880.0,2020,45000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22605410,Audi RS7 PLUS QUATTRO MATRIX CERAMIC PANO BANG 360 DRC,87990.0,2022,94000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22679998,Audi e-tron GT qu RS|LASER|ACC|HUD|PANO|B-O|KAM360°|KEY|ZRAČNO|F1,81990.0,2023,31000 km,elektro pogon,,440 kW,"93,4 kWh",
22525910,Audi e-tron GT RS quattro 440kW  Masaža. B O. Matrix,,2021,57000 km,elektro pogon,,440 kW,"93,4 kWh",
22752133,Audi e-tron GT RS. quattro. laser. panorama. masaža. nov 181.000€,89840.0,2023,23040 km,elektro pogon,,440 kW,"93,4 kWh",
22348909,Audi RS6 Avant 5.0 V10 FSI AUT. Quattro Xenon Navi Bose,36900.0,2008,194286 km,bencinski motor,avtomatski menjalnik,"4991 ccm, 426 kW / 579 KM",,
22790654,Audi R8 5.2 V10 |FACELIFT|KAMERA|PDC|NAVI|LASER|1.LASTNIK,129990.0,2022,37900 km,bencinski motor,avtomatski menjalnik,"5204 ccm, 419 kW / 570 KM",,
22729497,Audi RS6 Avant 4.0 TFSI CoD quattro Tiptronic,44995.0,2015,140000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
22104474,Audi RS6 Avant 4.0 TFSI quattro tiptronic 412  560  650KM ,,2015,151094 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
21784632,Audi RS6 Avant 4.0 TFSI V8 Q tiptr. Full option.AKRAPOVIČ. ST.2,53000.0,2015,157000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
22327920,Audi RS6 Avant 4.0 TFSI• Q• V8• NARDO• 21. COL• 360• PANO• F1,55000.0,2015,179000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
22593867,Audi RS6 Avant AKRAPOVIČ-ACC-PANO-KARBON-MATRIX-KERAMIKA,39990.0,2014,157000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
22726983,Audi RS6 Avant V8 BiTurbo|ACC|Pano|Keramika|Keyless|Soft|360|21c,45000.0,2015,168000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
18962543,Audi RS7 4.0 TFSI QUATTRO 8-st. tiptronic 560KM SLO KARBONS,44990.0,2015,135555 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
22761025,Audi RS7 Sportback 4.0 TFSI quattro Tiptronic,42900.0,2016,166000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 412 kW / 560 KM",,
21471968,Audi e-tron GT quattro,145220.0,2024,8000 km,elektro pogon,,390 kW,"93,4 kWh",
22784983,Audi A3 Sportback quattro 2.0 TDI clean diesel Attraction S-tronic,10800.0,2013,312000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",,
22668705,Audi RS5 SPORTBACK 2.9 TFSI-450 KS-QUATTRO-TIPTRONIC-LASER,59800.0,2022,101500 km,bencinski motor,avtomatski menjalnik,"2894 ccm, 331 kW / 450 KM",,
22784976,Audi A5 3.2 V6 TIPTRONIC F1 PRESTAVE + 20 COL.ITD.. ,12300.0,2008,228000 km,bencinski motor,avtomatski menjalnik,"3200 ccm, 220 kW / 299 KM",,
22784953,Audi A4 Avant quattro 2.0 TDI DPF,2600.0,2008,314000 km,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",,
22784914,Audi S3 quattro 2.0 TFSI,10500.0,2009,310000 km,bencinski motor,ročni menjalnik,"1984 ccm, 257 kW / 349 KM",,
22606452,Audi A7 Sportback 3.0 TDI-QUATTRO-MATRIX-HEAD UP-SOFT CLOS,29900.0,2016,143150 km,diesel motor,avtomatski menjalnik,"2967 ccm, 240 kW / 326 KM",,
22784896,Audi A4 Avant 2.0 TDI-Virtual-Gr. sedežev-Tempomat-Velika navi ,11990.0,2017,224000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22655194,Audi Q7 quattro 3.0 TDI e-tron  PANORAMA-BLAZINE,24900.0,2017,256800 km,hibridni pogon,avtomatski menjalnik,"2967 ccm, 275 kW / 374 KM",,
22655062,Audi Q5 Sportback quattro 40 TDI S line USNJE KAMERA PANORAMA,38500.0,2023,111150 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22549318,Audi A3 Sportback  MATRIX-RADAR-F1-150 KM NA ELEKTRIKO,31300.0,2025,19500 km,hibridni pogon,avtomatski menjalnik,"1395 ccm, 110 kW / 150 KM",,
22784862,Audi A4 Avant quattro 40 TDI Advanced S tronic SPORT|org.vlečna|,19880.0,2022,178980 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22695522,Audi Q3 40 TDI qu S tronic S-LINE|MATRIX|ACC|KAM|SONOS|KEY,34990.0,2023,107000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 147 kW / 200 KM",,
22209727,Audi A5 Sportback 40 TDI qu S tronic S-LINE|MATRIX|ACC|KAM|B-O|KEY,37990.0,2023,112000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784848,Audi A4 Avant 2.0 TDI DPF,3900.0,2009,440000 km,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",,
22738296,Audi A3 Sportback 1.8 TFSI 3x S-Line,14500.0,2016,198000 km,bencinski motor,avtomatski menjalnik,"1798 ccm, 132 kW / 179 KM",,
22784721,Audi Q7 3.0TDI MATRIX-ACC-360-NIGHT-PANO-GRE-HLA-HUD-MASAŽ,35990.0,2017,193000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 200 kW / 272 KM",,
22784718,Audi Q7 quattro 50 TDI S-line Black|ACC|Kljuka|Kamera360,44990.0,2019,85000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22784714,Audi Q5 2.0 TDI quattro Sport 140kW,25990.0,2018,149898 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22784689,Audi Q7 quattro 50 TDI S line Tiptronic ZRAČNO B O KOT N..,64990.0,2024,54000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22784686,Audi Q3 quattro 2.0 TDI Sport S tronic,15200.0,2016,174000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22784674,Audi A4 Avant quattro 45 TFSI S line S tronic|Matrix|Virtual|ACC,39990.0,2023,69000 km,bencinski motor,avtomatski menjalnik,"1984 ccm, 195 kW / 265 KM",,
22784644,Audi A4 1.8 T,2400.0,2001,303000 km,bencinski motor,ročni menjalnik,"1781 ccm, 110 kW / 150 KM",,
22784622,Audi A3 2.0 TDI 150HP 2XPDC. XENON. NAVIGACIJA OHRANJEN,12790.0,2017,190400 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22784602,Audi Q5 quattro 2.0 TDI,17000.0,2016,185000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22784593,Audi A4 Avant 2.0 TDI AVTOMATIK 245.000 KM MULTITRONIC,5000.0,2013,245970 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22784543,Audi A6 Avant 3.0 TDI  QUATTRO-235KW-BI-TURBO-MATRIX-NAVI-S LI..,18295.0,2015,258630 km,diesel motor,avtomatski menjalnik,"2967 ccm, 235 kW / 320 KM",,
22784530,Audi A5 Sportback quattro 45 TFSI S line S tronic LASER+PANO+ACC,29990.0,2023,144022 km,bencinski motor,avtomatski menjalnik,"1984 ccm, 195 kW / 265 KM",,
